Date,Hour,City,Area,Industrial,Households,Schools,Colleges,Hospitals,Total
2025-08-01,00:00,Bangalore,MG Road,73.91,33.8,3.22,2.57,16.96,130.48
2025-08-01,00:00,Bangalore,Brigade Road,80.63,26.03,1.21,2.19,25.3,135.35
2025-08-01,00:00,Bangalore,Church Street,51.41,31.41,1.46,1.04,24.13,109.46
2025-08-01,00:00,Bangalore,Richmond Town,84.94,27.87,3.87,1.44,26.62,144.74
2025-08-01,00:00,Bangalore,Shivajinagar,51.84,42.84,2.75,1.59,10.18,109.2
2025-08-01,00:00,Bangalore,Vasanth Nagar,74.68,29.28,2.86,4.13,12.6,123.53
2025-08-01,00:00,Bangalore,Ulsoor (Halasuru),81.24,49.71,1.89,1.06,23.58,157.48
2025-08-01,00:00,Bangalore,Indiranagar,71.21,39.0,2.61,1.67,15.52,130.0
2025-08-01,00:00,Bangalore,Koramangala,85.08,39.92,1.15,1.52,23.64,151.32
2025-08-01,00:00,Bangalore,Malleshwaram,49.98,35.29,2.8,1.05,26.94,116.06
2025-08-01,00:00,Bangalore,Rajajinagar,70.16,38.02,3.43,4.56,27.53,143.7
2025-08-01,00:00,Bangalore,Yeshwanthpur,80.26,29.32,3.93,3.15,17.87,134.53
2025-08-01,00:00,Bangalore,Hebbal,76.92,34.19,1.53,2.53,20.47,135.64
2025-08-01,00:00,Bangalore,RT Nagar,51.99,29.3,1.05,2.54,20.76,105.64
2025-08-01,00:00,Bangalore,Sahakara Nagar,60.46,26.04,3.17,2.67,23.7,116.03
2025-08-01,00:00,Bangalore,Yelahanka,83.23,34.24,2.07,1.1,19.86,140.5
2025-08-01,00:00,Bangalore,Jakkur,78.72,29.42,2.48,3.34,10.93,124.89
2025-08-01,00:00,Bangalore,Manyata Tech Park/Nagawara,110.29,49.23,1.05,4.16,21.86,186.59
2025-08-01,00:00,Bangalore,Jayanagar,85.54,25.73,3.56,1.53,17.13,133.49
2025-08-01,00:00,Bangalore,JP Nagar,68.93,25.2,2.77,4.98,21.31,123.19
2025-08-01,00:00,Bangalore,Basavanagudi,86.73,34.76,2.4,3.08,13.2,140.16
2025-08-01,00:00,Bangalore,Banashankari,67.13,45.69,3.16,1.65,21.68,139.31
2025-08-01,00:00,Bangalore,BTM Layout,70.02,44.93,2.84,4.2,28.72,150.72
2025-08-01,00:00,Bangalore,HSR Layout,85.55,39.36,1.97,1.81,23.81,152.5
2025-08-01,00:00,Bangalore,Bannerghatta Road belt,63.78,29.32,1.84,3.31,23.6,121.86
2025-08-01,00:00,Bangalore,Arekere,54.18,29.19,1.95,3.51,28.07,116.9
2025-08-01,00:00,Bangalore,Uttarahalli/Rajarajeshwari Nagar (RR Nagar),48.81,48.59,1.59,4.19,27.36,130.54
2025-08-01,00:00,Bangalore,KR Puram,86.07,40.55,1.74,2.62,24.93,155.9
2025-08-01,00:00,Bangalore,CV Raman Nagar,54.28,42.54,3.02,4.27,15.13,119.23
2025-08-01,00:00,Bangalore,Marathahalli,61.55,37.71,3.49,1.88,29.41,134.05
2025-08-01,00:00,Bangalore,Mahadevapura,79.27,36.93,2.19,1.15,26.53,146.06
2025-08-01,00:00,Bangalore,Whitefield,81.03,39.95,1.03,2.44,14.78,139.22
2025-08-01,00:00,Bangalore,Hoodi,50.16,31.04,2.24,1.76,23.59,108.78
2025-08-01,00:00,Bangalore,Kadugodi,53.43,42.81,2.45,2.26,18.15,119.1
2025-08-01,00:00,Bangalore,Varthur,64.9,26.33,1.21,4.06,28.9,125.41
2025-08-01,00:00,Bangalore,Bellandur,55.14,36.07,3.26,4.77,15.0,114.24
2025-08-01,00:00,Bangalore,Sarjapur Road corridor,58.75,34.69,1.21,3.59,27.27,125.51
2025-08-01,00:00,Bangalore,Vijayanagar,56.0,42.96,2.59,1.87,27.28,130.69
2025-08-01,00:00,Bangalore,Basaveshwaranagar,61.59,28.08,1.22,3.5,17.69,112.07
2025-08-01,00:00,Bangalore,Nagarbhavi,53.04,27.47,1.07,1.25,13.91,96.74
2025-08-01,00:00,Bangalore,Chandra Layout,67.27,48.58,3.25,2.42,26.69,148.21
2025-08-01,00:00,Bangalore,Magadi Road,54.03,44.26,3.54,2.12,17.97,121.94
2025-08-01,00:00,Bangalore,Peenya (industrial),78.22,49.15,2.04,1.83,21.07,152.31
2025-08-01,00:00,Bangalore,Electronic City (Phase 1 & 2),92.28,37.6,3.82,4.09,21.83,159.63
2025-08-01,00:00,Bangalore,HSR–Bellandur–Outer Ring Road (ORR) tech belt,58.66,31.77,3.09,3.94,19.89,117.36
2025-08-01,00:00,Bangalore,Devanahalli/Airport Road (KIAL),74.73,35.97,1.21,3.94,22.83,138.68
2025-08-01,00:00,Bangalore,Hoskote/Old Madras Road stretch,69.8,36.19,3.63,2.15,15.45,127.23
2025-08-01,00:00,Bangalore,Nelamangala/Tumkur Road belt,52.68,38.4,3.06,1.02,23.08,118.24
2025-08-01,01:00,Bangalore,MG Road,84.18,32.17,2.55,2.74,12.78,134.43
2025-08-01,01:00,Bangalore,Brigade Road,84.08,27.96,3.0,4.01,15.31,134.37
2025-08-01,01:00,Bangalore,Church Street,68.07,29.26,2.06,1.83,19.64,120.86
2025-08-01,01:00,Bangalore,Richmond Town,84.58,42.62,3.64,2.77,17.33,150.94
