Date,Hour,City,Area,Industrial,Households,Schools,Colleges,Hospitals,Total
2025-01-01,00:00,Bangalore,MG Road,81.22,46.54,2.57,4.75,28.88,163.96
2025-01-01,00:00,Bangalore,Brigade Road,80.74,30.02,1.43,2.48,19.55,134.22
2025-01-01,00:00,Bangalore,Church Street,67.02,48.96,1.44,1.66,23.45,142.53
2025-01-01,00:00,Bangalore,Richmond Town,78.84,37.28,2.25,2.48,29.27,150.12
2025-01-01,00:00,Bangalore,Shivajinagar,66.31,34.13,2.71,4.95,14.84,122.94
2025-01-01,00:00,Bangalore,Vasanth Nagar,84.9,45.79,1.96,1.98,25.52,160.14
2025-01-01,00:00,Bangalore,Ulsoor (Halasuru),86.27,40.7,2.83,1.2,25.1,156.1
2025-01-01,00:00,Bangalore,Indiranagar,60.63,33.53,2.9,2.08,21.64,120.77
2025-01-01,00:00,Bangalore,Koramangala,70.24,38.21,1.15,2.12,20.32,132.04
2025-01-01,00:00,Bangalore,Malleshwaram,69.1,44.53,1.36,3.4,12.45,130.85
2025-01-01,00:00,Bangalore,Rajajinagar,52.47,47.79,1.78,1.28,13.83,117.15
2025-01-01,00:00,Bangalore,Yeshwanthpur,61.37,40.31,2.42,3.44,17.92,125.45
2025-01-01,00:00,Bangalore,Hebbal,56.39,37.61,2.93,4.38,15.45,116.77
2025-01-01,00:00,Bangalore,RT Nagar,74.91,48.86,3.04,4.22,28.34,159.36
2025-01-01,00:00,Bangalore,Sahakara Nagar,66.3,44.25,3.62,2.28,21.33,137.77
2025-01-01,00:00,Bangalore,Yelahanka,74.81,27.29,2.44,1.61,27.95,134.09
2025-01-01,00:00,Bangalore,Jakkur,76.08,43.34,2.26,3.68,24.14,149.5
2025-01-01,00:00,Bangalore,Manyata Tech Park/Nagawara,130.42,47.44,1.4,2.58,10.5,192.34
2025-01-01,00:00,Bangalore,Jayanagar,48.84,36.68,1.72,4.82,19.65,111.72
2025-01-01,00:00,Bangalore,JP Nagar,73.59,34.25,1.26,2.93,27.33,139.35
2025-01-01,00:00,Bangalore,Basavanagudi,52.25,29.68,2.59,2.35,18.3,105.17
2025-01-01,00:00,Bangalore,Banashankari,80.48,33.37,3.37,1.86,23.42,142.49
2025-01-01,00:00,Bangalore,BTM Layout,70.42,56.39,2.56,1.03,29.8,160.19
2025-01-01,00:00,Bangalore,HSR Layout,53.2,51.56,3.57,3.55,26.17,138.04
2025-01-01,00:00,Bangalore,Bannerghatta Road belt,84.32,32.99,3.19,3.39,22.47,146.37
2025-01-01,00:00,Bangalore,Arekere,88.44,47.59,2.55,3.81,22.49,164.88
2025-01-01,00:00,Bangalore,Uttarahalli/Rajarajeshwari Nagar (RR Nagar),60.34,38.73,3.73,4.2,27.4,134.4
2025-01-01,00:00,Bangalore,KR Puram,88.49,34.73,1.29,3.8,28.6,156.91
2025-01-01,00:00,Bangalore,CV Raman Nagar,53.4,30.51,2.49,2.33,15.43,104.17
2025-01-01,00:00,Bangalore,Marathahalli,67.95,45.49,3.56,3.95,23.95,144.9
2025-01-01,00:00,Bangalore,Mahadevapura,58.81,43.01,1.27,3.59,28.27,134.97
2025-01-01,00:00,Bangalore,Whitefield,75.21,47.48,2.13,1.83,27.77,154.43
2025-01-01,00:00,Bangalore,Hoodi,83.91,39.73,3.43,3.61,26.26,156.94
2025-01-01,00:00,Bangalore,Kadugodi,78.9,43.35,3.35,3.8,28.86,158.26
2025-01-01,00:00,Bangalore,Varthur,68.52,33.56,3.33,1.23,19.59,126.23
2025-01-01,00:00,Bangalore,Bellandur,57.31,46.4,1.19,3.49,23.56,131.95
2025-01-01,00:00,Bangalore,Sarjapur Road corridor,79.66,28.66,2.39,2.15,13.71,126.57
2025-01-01,00:00,Bangalore,Vijayanagar,52.56,44.85,1.04,2.27,27.72,128.43
2025-01-01,00:00,Bangalore,Basaveshwaranagar,68.41,42.9,1.0,2.49,12.66,127.47
2025-01-01,00:00,Bangalore,Nagarbhavi,52.78,55.44,2.11,1.97,15.41,127.71
2025-01-01,00:00,Bangalore,Chandra Layout,83.97,56.02,1.86,3.19,27.84,172.89
2025-01-01,00:00,Bangalore,Magadi Road,72.97,31.12,1.15,4.4,21.56,131.2
2025-01-01,00:00,Bangalore,Peenya (industrial),78.41,48.7,3.32,1.27,28.32,160.01
2025-01-01,00:00,Bangalore,Electronic City (Phase 1 & 2),92.36,27.48,2.71,1.55,13.57,137.66
2025-01-01,00:00,Bangalore,HSR–Bellandur–Outer Ring Road (ORR) tech belt,104.55,29.63,2.57,2.47,21.48,160.71
2025-01-01,00:00,Bangalore,Devanahalli/Airport Road (KIAL),89.46,42.28,1.51,4.16,28.43,165.84
2025-01-01,00:00,Bangalore,Hoskote/Old Madras Road stretch,54.31,38.9,3.85,2.36,26.95,126.37
2025-01-01,00:00,Bangalore,Nelamangala/Tumkur Road belt,73.79,28.72,3.04,2.32,17.4,125.27
2025-01-01,01:00,Bangalore,MG Road,54.77,48.14,1.23,2.33,13.24,119.7
2025-01-01,01:00,Bangalore,Brigade Road,53.31,48.83,1.73,2.23,27.6,133.71
2025-01-01,01:00,Bangalore,Church Street,85.5,48.93,2.69,2.82,29.66,169.6
2025-01-01,01:00,Bangalore,Richmond Town,54.06,44.29,2.98,1.74,29.87,132.93
2025-01-01,01:00,Bangalore,Shivajinagar,64.67,46.22,2.7,2.2,15.69,131.48
2025-01-01,01:00,Bangalore,Vasanth Nagar,78.64,57.16,2.49,3.01,29.82,171.13
2025-01-01,01:00,Bangalore,Ulsoor (Halasuru),68.42,39.56,3.43,3.57,25.52,140.51
2025-01-01,01:00,Bangalore,Indiranagar,58.49,30.43,3.86,4.69,29.4,126.87
2025-01-01,01:00,Bangalore,Koramangala,81.21,31.14,3.51,4.55,23.11,143.54
2025-01-01,01:00,Bangalore,Malleshwaram,86.18,43.24,1.98,2.02,20.49,153.91
2025-01-01,01:00,Bangalore,Rajajinagar,71.89,33.05,1.19,4.32,23.89,134.34
2025-01-01,01:00,Bangalore,Yeshwanthpur,57.04,26.97,3.8,4.19,21.0,113.0
2025-01-01,01:00,Bangalore,Hebbal,65.01,49.24,3.08,4.9,22.27,144.51
2025-01-01,01:00,Bangalore,RT Nagar,71.03,43.66,2.46,1.04,15.55,133.73
2025-01-01,01:00,Bangalore,Sahakara Nagar,74.47,42.58,1.69,3.1,27.33,149.18
2025-01-01,01:00,Bangalore,Yelahanka,86.35,49.65,2.55,3.8,29.82,172.16
2025-01-01,01:00,Bangalore,Jakkur,89.42,27.74,2.53,1.37,26.53,147.58
2025-01-01,01:00,Bangalore,Manyata Tech Park/Nagawara,108.28,45.57,3.13,2.67,10.87,170.52
2025-01-01,01:00,Bangalore,Jayanagar,86.03,25.76,3.31,2.33,23.1,140.53
2025-01-01,01:00,Bangalore,JP Nagar,63.93,50.74,2.51,3.99,14.55,135.72
2025-01-01,01:00,Bangalore,Basavanagudi,89.55,28.85,2.19,3.18,15.21,138.99
2025-01-01,01:00,Bangalore,Banashankari,76.38,29.99,3.64,3.79,22.5,136.3
2025-01-01,01:00,Bangalore,BTM Layout,67.85,33.54,2.34,1.08,25.44,130.26
2025-01-01,01:00,Bangalore,HSR Layout,51.0,44.13,2.94,3.84,17.94,119.85
2025-01-01,01:00,Bangalore,Bannerghatta Road belt,85.92,37.36,1.7,3.57,27.58,156.14
2025-01-01,01:00,Bangalore,Arekere,75.69,47.43,2.09,1.33,13.15,139.69
2025-01-01,01:00,Bangalore,Uttarahalli/Rajarajeshwari Nagar (RR Nagar),65.91,40.72,2.8,2.65,27.92,140.01
2025-01-01,01:00,Bangalore,KR Puram,58.91,33.77,3.41,3.19,18.39,117.67
2025-01-01,01:00,Bangalore,CV Raman Nagar,69.46,58.93,3.35,2.83,26.68,161.25
2025-01-01,01:00,Bangalore,Marathahalli,88.0,30.08,3.89,1.94,14.78,138.69
2025-01-01,01:00,Bangalore,Mahadevapura,69.96,41.57,1.92,1.99,24.62,140.06
2025-01-01,01:00,Bangalore,Whitefield,72.06,31.06,3.77,1.46,10.82,119.16
2025-01-01,01:00,Bangalore,Hoodi,81.56,32.75,3.29,4.5,11.83,133.93
2025-01-01,01:00,Bangalore,Kadugodi,86.79,30.39,3.52,1.48,10.57,132.74
2025-01-01,01:00,Bangalore,Varthur,88.54,39.01,2.95,3.98,11.7,146.17
2025-01-01,01:00,Bangalore,Bellandur,81.71,42.72,3.13,2.69,15.6,145.86
2025-01-01,01:00,Bangalore,Sarjapur Road corridor,84.5,31.4,2.56,2.71,24.35,145.5
2025-01-01,01:00,Bangalore,Vijayanagar,74.38,36.02,1.28,3.52,11.0,126.21
2025-01-01,01:00,Bangalore,Basaveshwaranagar,75.5,26.5,2.54,2.47,29.2,136.23
2025-01-01,01:00,Bangalore,Nagarbhavi,72.61,47.91,1.5,2.69,19.5,144.22
2025-01-01,01:00,Bangalore,Chandra Layout,76.68,54.07,2.29,2.4,25.86,161.31
2025-01-01,01:00,Bangalore,Magadi Road,86.4,30.12,3.14,1.05,19.76,140.48
2025-01-01,01:00,Bangalore,Peenya (industrial),82.06,41.31,1.91,3.13,11.12,139.53
2025-01-01,01:00,Bangalore,Electronic City (Phase 1 & 2),91.09,31.0,1.34,1.95,15.06,140.44
2025-01-01,01:00,Bangalore,HSR–Bellandur–Outer Ring Road (ORR) tech belt,111.66,45.67,3.69,3.55,29.17,193.74
2025-01-01,01:00,Bangalore,Devanahalli/Airport Road (KIAL),84.93,36.38,2.93,4.2,14.39,142.83
2025-01-01,01:00,Bangalore,Hoskote/Old Madras Road stretch,57.97,36.2,1.07,3.02,26.57,124.82
2025-01-01,01:00,Bangalore,Nelamangala/Tumkur Road belt,89.45,39.7,2.86,4.84,17.5,154.36
2025-01-01,02:00,Bangalore,MG Road,86.54,27.78,1.36,1.03,28.64,145.35
2025-01-01,02:00,Bangalore,Brigade Road,86.38,30.59,3.78,3.74,22.35,146.84
2025-01-01,02:00,Bangalore,Church Street,52.97,47.98,3.53,4.81,24.44,133.75
2025-01-01,02:00,Bangalore,Richmond Town,54.02,45.85,1.84,3.29,18.03,123.03
2025-01-01,02:00,Bangalore,Shivajinagar,59.24,42.69,3.72,1.95,11.64,119.24
